Place ID,"
Export ID","
Name","
Address","
City","
State","
Zip","
Country","
Phone","
Lat","
Lng","
Category","
Modern Category","
Popularity","
Closed","
Significant","
Vendors","
URL","
Supports Apple Pay","
Last modified date","
Tier-one","
Icon","
Hours","
Has Indoor","
Is Icon Suppressed","
Alt Muid","
POI Class Min Zoom","
HTT",Editor Name,Date,POI Link,Are hours visiting hours for tourists?,Is POI also a tourist attraction?,Indicator(s),Copy/Paste Hours,Are Hours Seasonal?,Religious Category Flag,"If category is incorrect, paste best modern category pathway",Best Modern Category is Hours Suppressed?,Notes,
"
34ccc9aa-d76e-4829-b14d-878336fab21c",202551574,"
Notre-Dame Cathedral","
6 Parvis Notre-Dame - Place Jean-Paul II","
Paris","

",75004,"
FR",33142345610,48.85306,2.34988,"
religiousorgs.churches","
association_or_organization.religious_organization.church.cathedral",12347,"
FALSE","
TRUE","
KittyHawk Yelp Trip Advisor Trip Advisor Pages Jaunes Foursquare V2 Foursquare Foursquare POI Augmentation POI Augmentation POI Augmentation Factual.comTiqets DataPlor Wikipedia Find A Grave Getty Tiqets Shazam","
http://www.notredamedeparis.fr","
TRUE","
Mon Jun 09 15:17:33 PDT 2025","
FALSE","
Landmark","
Sunday Saturday 8:15am–7:30pm|Monday Tuesday Wednesday Friday 7:45am–7:00pm|Thursday 7:45am–10:00pm","
FALSE","
FALSE","

",10.5,"
TIER_HEAD",Brendan,7/3/25,"https://apollo.geo.apple.com/p/release/
34ccc9aa-d76e-4829-b14d-878336fab21c",No - Religious Only,No,https://www.notredamedeparis.fr,"Monday to Friday
7:50 a.m. to 7 p.m.
Until 10pm on Thursday
Saturday and Sunday
8:15 am - 7:30 pm",,Correct,,,This POI should remain a religious POI as it allows visitors in but not as a designated tourist attraction. This is admission free and welcomes those who wish to learn about the religious site or worship. There is not a designated tourist attraction for this POI. ,Locked
"
1fdc0ee0-3d15-44a3-ae8b-e63ccf5d2e41",400535401,"
Milan Cathedral","
Piazza Duomo","
Milano","

",20122,"
IT",3902361691,45.46413,9.19157,"
religiousorgs.churches","
association_or_organization.religious_organization.church.cathedral",13927,"
FALSE","
TRUE","
KittyHawk Yelp Wcities Wcities Trip Advisor Trip Advisor Trip Advisor Trip Advisor Trip Advisor Infobel Infobel Infobel Foursquare V2 Foursquare V2 Foursquare Tiqets Wikipedia Find A Grave Getty PottersTech Siri - Knowledge Graph","
https://www.duomomilano.it https://www.facebook.com/duomodimilan/ https://www.duomomilano.it/en/contact/","
TRUE","
Mon Jun 09 16:56:09 PDT 2025","
TRUE","
Religious","
Sunday Monday Tuesday Wednesday Thursday Friday Saturday 8:00am–9:00pm","
FALSE","
FALSE","

",14,"
TIER_HEAD",Satya,07/29/2025,"https://apollo.geo.apple.com/p/release/
1fdc0ee0-3d15-44a3-ae8b-e63ccf5d2e41",No - Religious Only,Yes,https://www.duomomilano.it,"Monday
8:00 AM - 7:00 PM
Tuesday
8:00 AM - 7:00 PM
Wednesday
8:00 AM - 7:00 PM
Thursday
8:00 AM - 7:00 PM
Friday
8:00 AM - 7:00 PM
Saturday
8:00 AM - 7:00 PM
Sunday
8:00 AM - 7:00 PM",No,Incorrect,association_or_organization.religious_organization.church.cathedral,,Tjhe POI is a Cathedral but also a place where visitors can do sight seeing,Locked
"
472ed686-ba40-48d7-8969-914d2f053cbf",202366916,"
Santa Maria del Fiore","
Piazza del Duomo","
Firenze","

",50122,"
IT",390552302885,43.77316,11.25685,p,"
association_or_organization.religious_organization.church.cathedral",4382,"
FALSE","
TRUE","
Yelp Wcities Trip Advisor Foursquare GetYourGuide DataPlor Wikipedia Siri - Knowledge Graph PottersTech Shazam","
https://duomo.firenze.it/it/scopri/cattedrale-di-santa-maria-del-fiore https://duomo.firenze.it https://www.ilgrandemuseodelduomo.ithttps://duomo.firenze.it/it/home/","
TRUE","
Mon Jun 09 17:14:52 PDT 2025","
FALSE","
Religious","
Monday Tuesday Wednesday Thursday Friday Saturday 10:15am–3:45pm","
FALSE","
FALSE","

",14,"
TIER_HEAD",Fallon,7/3/25,"https://apollo.geo.apple.com/p/release/
472ed686-ba40-48d7-8969-914d2f053cbf",Yes - Edit Needed,Yes,https://duomo.firenze.it/it/scopri/cattedrale-di-santa-maria-del-fiore,Monday to Saturday from 10:15 to 15:45,,Correct,,,POI allows non-religious visitors,#N/A
"
5af7f234-b540-447e-a333-6202b5a73871",202366369,"
Sultan Ahmet Camisi","
At Meydanı Cd. 7","
Fatih","

",34122,"
TR",902124580776,41.00527,28.97714,"
religiousorgs.mosques","
association_or_organization.religious_organization.mosque",2071,"
FALSE","
TRUE","
BasarSoft BasarSoft BasarSoft Yelp Wcities Yellow Medya Foursquare Tiqets DataPlor Wikipedia DataPlor DataPlor","
https://sultanahmetcami.org https://sultanahmetcami.org/ziyaretcirehberi.php","
FALSE","
Mon Jun 09 16:39:55 PDT 2025","
FALSE","
Religious","
Monday Wednesday Thursday Saturday 11:00am–2:30pm","
FALSE","
FALSE","

",14,"
TIER_HEAD",Fallon,7/3/25,"https://apollo.geo.apple.com/p/release/
5af7f234-b540-447e-a333-6202b5a73871",Yes - Edit Needed,Yes,https://www.bluemosquetickets.com/plan-your-visit/,You can visit anytime between 9 AM to 6 PM,,Correct,,,POI allows non-religious visitors,#N/A
"
6434c9dd-1ba6-434a-b469-0c1e24a06a65",202361023,"
Cathedral of Seville","
Avenida de la Constitución, s/n","
Sevilla","

",41001,"
ES",34902099692,37.38582,-5.99311,"
religiousorgs.churches","
association_or_organization.religious_organization.church.cathedral",2271,"
FALSE","
TRUE","
KittyHawk Yelp Wcities Trip Advisor Foursquare Tiqets GetYourGuide DataPlor Wikipedia Siri - Knowledge Graph Find A Grave DataPlor DataPlor DataPlor DataPlor","
http://www.catedraldesevilla.es https://www.catedraldesevilla.es/culto/horarios-de-misa/","
TRUE","
Mon Jun 09 15:07:48 PDT 2025","
FALSE","
Religious","
Sunday 12:00pm–7:00pm|Monday Tuesday Wednesday Thursday Friday Saturday 11:00am–7:00pm","
FALSE","
FALSE","

",14,"
TIER_HEAD",Holly,7/3/25,"https://apollo.geo.apple.com/p/release/
6434c9dd-1ba6-434a-b469-0c1e24a06a65",Yes - Edit Needed,Yes,https://www.catedraldesevilla.es/visita-cultural/horarios-y-tarifas/,"MONDAY TO SATURDAY11:00h. to 19:00h.(Access, until 6:00 p.m. and eviction from 6:40 p.m.)SUNDAYS14:30h. to 19:00h.(Access, until 18:00h. and eviction from 18:40h.)",,Correct,,,POI allows non-religious visitors and also worship at separate times.,#N/A
"
e5e4e5cf-4430-4061-8a5c-20a9cd96f074",2189512314,"
Ortakoy Mosque","
İskele Sk. 1","
Beşiktaş","

",34347,"
TR","

",41.04728,29.0269,"
religiousorgs.mosques","
association_or_organization.religious_organization.mosque",1563,"
FALSE","
TRUE","
BasarSoft Wcities Trip Advisor Trip Advisor Yellow Medya Foursquare DataPlor Wikipedia Getty","
https://istanbul-tourist-information.com/en/experience-istanbul/places-of-worship-in-istanbul/mosques-in-istanbul/ortakoey-mosquehttp://www.destancafe.com http://diyanet.gov.tr/","
FALSE","
Mon Jun 09 15:03:59 PDT 2025","
FALSE","
Religious","
Sunday Monday Tuesday Wednesday Thursday Friday Saturday 12:00am–11:59pm","
FALSE","
FALSE","

",14,"
TIER_HEAD",Holly,7/3/25,"https://apollo.geo.apple.com/p/release/
e5e4e5cf-4430-4061-8a5c-20a9cd96f074",Yes - Edit Needed,Yes,https://istanbultourstudio.com/things-to-do/ortakoy-mosque,"open from around 9 am to 6 pm, but closed to visitors during prayer times.",,Correct,,,POI allows non-religious visitors during certain times.,#N/A
"
c7098ec9-5c15-4208-ba68-cf56abed2756",202365010,"
Basilique Notre-Dame de la Garde","
Rue Fort du Sanctuaire","
Marseille","

",13006,"
FR",33491134080,43.28406,5.37124,"
religiousorgs.churches","
association_or_organization.religious_organization.church",1425,"
FALSE","
TRUE","
KittyHawk Yelp Wcities Trip Advisor Pages Jaunes Pages Jaunes Pages Jaunes Foursquare V2 Foursquare V2 Foursquare Factual.comFactual.comDataPlor Getty Wikipedia Siri - Knowledge Graph","
http://notredamedelagarde.fr","
TRUE","
Mon Jun 09 15:02:26 PDT 2025","
FALSE","
Religious","
Sunday Monday Tuesday Wednesday Thursday Friday Saturday 7:00am–6:15pm","
FALSE","
FALSE","

",13,"
TIER_HEAD",Holly,7/3/25,"https://apollo.geo.apple.com/p/release/
c7098ec9-5c15-4208-ba68-cf56abed2756",Yes - Edit Needed,Yes,https://basiliquenotredamedelagarde.com/horaires-acces | https://basiliquenotredamedelagarde.com/messes-et-offices,"The sanctuary is open every day from 7am to 6pm.
Attention: visits to the interior of the basilica are limited during the celebrations, as well as occasionally during special events.",,Correct,,,POI is open to non-religious visitors except during mass. Masses are referred to as celebrations on website.,#N/A
"
233c4e9b-2c18-412f-99fe-db301fb0e8a6",202383298,"
Parthenon","

","
Αθήνα","

","
105 58","
GR",302103214172,37.97147,23.72663,"
publicservicesgovt.landmarks","
association_or_organization.religious_organization.temple",2877,"
FALSE","
TRUE","
KittyHawk OpenStreetMap Wcities Trip Advisor Foursquare Factual GetYourGuide DataPlor DataPlor Wikipedia Siri - Knowledge Graph Getty","
http://odysseus.culture.gr/h/2/gh251.jsp?obj_id=912 http://odysseus.culture.gr/h/3/gh355.jsp?obj_id=2384","
FALSE","
Mon Jun 09 16:29:56 PDT 2025","
FALSE","
Landmark","
Sunday Monday Tuesday Wednesday Thursday Friday Saturday 8:00am–8:00pm","
FALSE","
FALSE","

",10,"
TIER_HEAD",Holly,7/3/25,"https://apollo.geo.apple.com/p/release/
233c4e9b-2c18-412f-99fe-db301fb0e8a6",Yes - Edit Needed,Yes,http://odysseus.culture.gr/h/2/eh251.jsp?obj_id=912,,,Incorrect,,,purely tourist attraction. ,Locked
"
18a27668-90c4-44cc-8696-7300d01cf223",1023330006,"
Yasaka Shrine","
祇園町北側625","
東山区, 京都市","

","
605-0073","
JP",81755616155,35.00365,135.77855,"
religiousorgs.shintoshrines","
association_or_organization.religious_organization.shrine.shinto_shrine",2395,"
FALSE","
TRUE","
IPC IPC MapFan Directory Jalan Yelp Yelp Trip Advisor Trip Advisor Factual.comFoursquare Wcities Getty Wikipedia","
https://www.yasaka-jinja.or.jp https://www.yasaka-jinja.or.jp/access/","
TRUE","
Mon Jun 09 14:58:47 PDT 2025","
FALSE","
Shrine","
Sunday Monday Tuesday Wednesday Thursday Friday Saturday 9:00am–5:00pm","
FALSE","
FALSE","

",13,"
TIER_HEAD",Holly,7/3/25,"https://apollo.geo.apple.com/p/release/
18a27668-90c4-44cc-8696-7300d01cf223",No - Religious Only,No,https://www.yasaka-jinja.or.jp/sanpai/,"Visiting hours: You can visit 24 hours a day.
Reception hours of the company office: 9:00 a.m. to 5:00 p.m.
Prayer reception hours: 9:00 a.m. to 4:00 p.m.",,Correct,,,Visiting hours are 24hrs a day but the focus of the visit instructions are for religious purposes. States that you can come visit whether you worship or not but be respectful as it is a place of worship.,#N/A
"
77e16019-e1e1-4688-a0a3-049b2178964a",400610301,"
Abbey of Mont-Saint-Michel","
Chemin de Ronde","
Le Mont-Saint-Michel","

",50170,"
FR",33144612030,48.63605,-1.51134,"
religiousorgs.monastery","
association_or_organization.religious_organization.monastery.abbey",1248,"
FALSE","
TRUE","
KittyHawk Yelp Wcities Pages Jaunes Foursquare Foursquare Tiqets GetYourGuide DataPlor Find A Grave Wikipedia Siri - Knowledge Graph DataPlor Shazam","
http://www.abbaye-mont-saint-michel.fr https://www.facebook.com/abbayemontsaintmichel/ http://www.abbaye-mont-saint-michel.fr","
FALSE","
Mon Jun 09 22:33:01 PDT 2025","
FALSE","
Religious","
Sunday Monday Tuesday Wednesday Thursday Friday Saturday 9:00am–7:00pm","
FALSE","
FALSE","

",14,"
TIER_HEAD",Holly,7/3/25,"https://apollo.geo.apple.com/p/release/
77e16019-e1e1-4688-a0a3-049b2178964a",Yes - Edit Needed,Yes,https://www.abbaye-mont-saint-michel.fr/en/visit/practical-information,"From May 1st to August 31st
9am - 7pm
From September 1st to April 30th
9:30am - 6pm
The abbey is closed on January 1, May 1 and December 25. ",,Incorrect,,,Purely tourist attraction.,#N/A
"
0f7b89f3-2dd5-4a49-90da-c3a5d120f557",202366939,"
Cathédrale Notre-Dame","
19–31 Place de la Cathédrale","
Strasbourg","

",67000,"
FR",33388214334,48.58174,7.75057,"
religiousorgs.churches","
association_or_organization.religious_organization.church.cathedral",1473,"
FALSE","
TRUE","
KittyHawk Yelp Wcities Wcities Trip Advisor Foursquare V2 Foursquare Factual.comDataPlor Siri - Knowledge Graph Wikipedia","
https://www.cathedrale-strasbourg.fr https://www.cathedrale-strasbourg.fr/horaires_acces","
FALSE","
Mon Jun 09 17:00:40 PDT 2025","
FALSE","
Religious","
Sunday 2:00pm–5:15pm|Monday Tuesday Wednesday Thursday Friday Saturday 8:15am–5:45pm","
FALSE","
FALSE","

",14,"
TIER_HEAD",Holly,7/3/25,"https://apollo.geo.apple.com/p/release/
0f7b89f3-2dd5-4a49-90da-c3a5d120f557",Yes - Edit Needed,Yes,https://www.cathedrale-strasbourg.fr/horaires_acces | https://www.cathedrale-strasbourg.fr/horaires-messes,"Notre-Dame Cathedral is open to the public:
Monday to Saturday from 8:30 a.m. to 11:15 a.m. and from 12:45 p.m. to 5:45 p.m.,
Sundays and holidays from 2:00 p.m. to 5:15 p.m. | Sunday Masses
Sunday Mass (anticipated) on Saturday: 6:00 p.m. (Chapelle St Laurent)
Sunday: 09:30 a.m. with the Gregorian Schola - masses at 11:00 a.m. and 6:00 p.m. (Nef)
Weekday Masses
Monday to Friday at 07:30 and 09:00 (St Jean-Baptiste) (No masses at 07:30 in July and August)
Saturday, mass at 09:00 (St Jean-Baptiste)
Holidays
Sunday hours. The 6:00 p.m. mass may not take place.",,Correct,,,Visitor hours end right before mass times start which infer that there are separate visitor and religious practice times. Visitors who are not participating in religion seem to not be allowed during mass times.,#N/A
